JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：rev4_bom-JLCPCB Assembly Order.xlsx,,,Download Time：2026-03-09 22:30:55,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：36.7342,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C1,C10,C23,C24",,1uF,0402,,Select by System,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C52923,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,Basic,8,8 JLCPCB,0.032
"C11,C12,C17,C2,C20,C21,C22,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C38,C39,C4,C40,C5,C6,C7,C8,C9",,0.1uF,0402,,Unconfirmed,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (CL05B104KO5NNNC) of this part does not match the one (0.1uF) provided in your BOM. Please confirm;,C1525,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,Basic,58,58 JLCPCB,0.0754
"C13,C14",,10uF,0603,,Select by System,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C19702,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,Basic,4,4 JLCPCB,0.026
"C15,C16",,33pF,0402,,Select by System,0402CG330J500NT,FH (Guangdong Fenghua Advanced Tech),0402,33pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1562,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562,Basic,4,4 JLCPCB,0.0048
"C18,C19",,15pF,0402,,Select by System,0402CG150J500NT,FH (Guangdong Fenghua Advanced Tech),0402,15pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1548,https://jlcpcb.com/partdetail/1900-0402CG150J500NT/C1548,Basic,4,4 JLCPCB,0.0048
C37,,470pF,0805,,Select by System,0805B471K500NT,FH (Guangdong Fenghua Advanced Tech),0805,470pF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1743,https://jlcpcb.com/partdetail/2095-0805B471K500NT/C1743,Basic,2,2 JLCPCB,0.0104
"FB1,FB2,FB3,FB4",,FerriteBead,0603,,Select by Customer,GZ1608D601TF,Sunlord,0603,-55℃~+125℃ 1 200mA 450mΩ 600Ω@100MHz ±25% 0603 Ferrite Beads ROHS,Ferrite Beads,,C1002,https://jlcpcb.com/partdetail/Sunlord-GZ1608D601TF/C1002,Basic,8,8 JLCPCB,0.1048
J1,,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,Select by Customer,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,"-30℃~+80℃ 1 10,000 cycles 16P 20V 5A 7.35mm Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS",USB Connectors,,C165948,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,Extended,2,2 JLCPCB,0.362
"R1,R2",,5.1K,0402,,Unconfirmed,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF5101TCE) of this part does not match the one (5.1K) provided in your BOM. Please confirm;,C25905,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,Basic,4,4 JLCPCB,0.0032
"R3,R4",,22,0402,,Unconfirmed,0402WGF220JTCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 22Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF220JTCE) of this part does not match the one (22) provided in your BOM. Please confirm;,C25092,https://jlcpcb.com/partdetail/25835-0402WGF220JTCE/C25092,Basic,4,4 JLCPCB,0.0032
"R5,R6,R8",,1K,0402,,Unconfirmed,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1001TCE) of this part does not match the one (1K) provided in your BOM. Please confirm;,C11702,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702,Basic,6,6 JLCPCB,0.0042
"R10,R11,R12,R13,R16,R7,R9",,10K,0402,,Unconfirmed,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1002TCE) of this part does not match the one (10K) provided in your BOM. Please confirm;,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,Basic,14,14 JLCPCB,0.0112
R15,,12K,0402,,Unconfirmed,0402WGF1202TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 12kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1202TCE) of this part does not match the one (12K) provided in your BOM. Please confirm;,C25752,https://jlcpcb.com/partdetail/26495-0402WGF1202TCE/C25752,Basic,2,2 JLCPCB,0.0014
SW1,,SW_Push,SW_Push_SPST_NO_Alps_SKRK,,Select by Customer,TS-1088-AR02016,XUNPU,"SMD,4x3mm","-30℃~+80℃ 1.6N 100,000 cycles 12V 2mm 3mm 4mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS",Tactile Switches,,C720477,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477,Basic,2,2 JLCPCB,0.111
U1,,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,Select by Customer,RP2040,Raspberry Pi,LQFN-56(7x7),12bit 133MHz 30 LQFN-56(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),,C2040,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,Extended,2,2 JLCPCB,1.9298
U2,,MCP1700x-330xxTT,SOT-23,,Select by Customer,MCP1700T-3302E/TT,Microchip Tech,SOT-23,"-40℃~+125℃@(Tj) 1 1.6uA 178mV@(250mA) 250mA 3.3V 44dB@(100Hz) 6V Fixed Over Temperature Protection、Short Circuit Protection Positive SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C39051,https://jlcpcb.com/partdetail/MicrochipTech-MCP1700T_3302ETT/C39051,Extended,5,5 JLCPCB,2.193
U3,,LAN9250/ML,QFN64_ML_MCH,,Select by System,LAN9250/ML,Microchip Tech,QFN-64-EP(9x9),QFN-64-EP(9x9) Ethernet Controllers ROHS,Ethernet Controllers,,C633497,https://jlcpcb.com/partdetail/MicrochipTech-LAN9250ML/C633497,Extended,2,2 JLCPCB,28.7744
U4,,W25Q16JVUXIQTR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,,Select by Customer,W25Q16JVUXIQ,Winbond Elec,USON-8-EP(2x3),"-40℃~+85℃ 100,000 cycles 10uA 133MHz 16Mbit 2.7V~3.6V 20 Years 3ms SPI USON-8-EP(2x3) NOR FLASH ROHS",NOR FLASH,1.The comment (W25Q16JVUXIQ) of this part does not match the one (W25Q16JVUXIQTR) provided in your BOM. Please confirm;,C2843335,https://jlcpcb.com/partdetail/WinbondElec-W25Q16JVUXIQ/C2843335,Extended,2,2 JLCPCB,2.792
Y1,,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,,Select by Customer,X322512MSB4SI,YXC Crystal Oscillators,SMD3225-4P,-40℃~+85℃ 12MHz 20pF Crystal Oscillator ±10ppm ±20ppm SMD3225-4P Crystals ROHS,Crystals,,C9002,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322512MSB4SI/C9002,Basic,2,2 JLCPCB,0.145
Y2,,25MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,,Select by Customer,X322525MOB4SI,YXC Crystal Oscillators,SMD3225-4P,-40℃~+85℃ 12pF 25MHz Crystal Oscillator ±10ppm ±20ppm SMD3225-4P Crystals ROHS,Crystals,,C9006,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322525MOB4SI/C9006,Basic,2,2 JLCPCB,0.1456
J2,,Conn_01x07,PinHeader_1x07_P2.54mm_Vertical,,No matches,No Part Selected,,,,,,,,,,,
J4,,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,,No matches,No Part Selected,,,,,,,,,,,
J5,,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,,No matches,No Part Selected,,,,,,,,,,,
J6,,RJ45_Hanrun_HR911105A_Horizontal,RJ45_Hanrun_HR911105A_Horizontal,,No matches,No Part Selected,,,,,,,,,,,
